Product,Product URL,Product Price,Product Rating,No of review
"Arctic Hunter Sling bag for men,Chest Bag for Men,Shoulder Bag for Men with Handle Crossbody Bag IPX6 Water-resistant Anti-theft Side Bag for Travel,Business,Black  ",https://amazon.in/Shoulder-Crossbody-Water-resistant-Anti-theft-Business/dp/B0B6G2SQW9/ref=sr_1_115?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-115,"₹1,899",4.4 out of 5 stars,17
ADISA Light Weight Laptop Backpack 32 Ltrs  ,https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_116?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-116,₹599,4.0 out of 5 stars,"5,420"
Lavie Women's Betula Tote Bag | Ladies Purse Handbag  ,https://amazon.in/Lavie-Betula-Womens-Tote-Mint/dp/B08J8M2B42/ref=sr_1_117?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-117,"₹1,299",4.1 out of 5 stars,"17,298"
Wildcraft 31 Ltrs Green Casual Backpack (11954 Green)  ,https://amazon.in/Wildcraft-Music-Backpack-Green-11954/dp/B07N2SBX54/ref=sr_1_118?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-118,"₹1,155",4.5 out of 5 stars,304
"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty  ",https://amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_119?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-119,₹669,4.0 out of 5 stars,"5,739"
Wildcraft 44 Ltrs Casual Backpack (11629-Wolf_Blue)  ,https://amazon.in/Wildcraft-Wolf_Blu-Casual-Backpack-11629-Wolf_Blu/dp/B079DFHYHP/ref=sr_1_120?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-120,"₹1,597",4.5 out of 5 stars,527
NETTIE Yoga mat Bag  ,https://amazon.in/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_121?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-121,₹190,4.0 out of 5 stars,904
"Storite Canvas Sling Cross Body Travel Office Business Satchel Messenger One Side Shoulder Bag for Men & Women-(33cm x 6.5cm x 27cm, Brown with Brown Strap)  ",https://amazon.in/Storite-Canvas-Sling-Brown-Strap/dp/B099ZFN2QD/ref=sr_1_123?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-123,₹745,4.1 out of 5 stars,696
Northzone Outdoor Travel Anti Theft Laptop Backpack Mochila anti robo Outdoor Travel Daily School Custom Logo Schoolbag Business Men Bag  ,https://amazon.in/Northzone-Outdoor-Backpack-Schoolbag-Business/dp/B0BH8S9QGH/ref=sr_1_124?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-124,₹599,3.4 out of 5 stars,11
Zouk Women's Office Bag (multicolour)  ,https://amazon.in/Zouk-Womens-Office-Bag-multicolour/dp/B09L79TM6D/ref=sr_1_125?keywords=bags&qid=1669055431&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sr=8-125,"₹1,699",4.2 out of 5 stars,58
